Order,Book,Strongs,Hebrew_Greek,Transliteration,Count
1,Gen,H3722,כָּפַר,kāp̄ar,0
2,Exo,H3722,כָּפַר,kāp̄ar,7
3,Lev,H3722,כָּפַר,kāp̄ar,44
4,Num,H3722,כָּפַר,kāp̄ar,15
5,Deu,H3722,כָּפַר,kāp̄ar,2
6,Jos,H3722,כָּפַר,kāp̄ar,0
7,Jdg,H3722,כָּפַר,kāp̄ar,0
8,Rth,H3722,כָּפַר,kāp̄ar,0
9,1Sa,H3722,כָּפַר,kāp̄ar,1
10,2Sa,H3722,כָּפַר,kāp̄ar,1
11,1Ki,H3722,כָּפַר,kāp̄ar,0
12,2Ki,H3722,כָּפַר,kāp̄ar,0
13,1Ch,H3722,כָּפַר,kāp̄ar,1
14,2Ch,H3722,כָּפַר,kāp̄ar,2
15,Ezr,H3722,כָּפַר,kāp̄ar,0
16,Neh,H3722,כָּפַר,kāp̄ar,1
17,Est,H3722,כָּפַר,kāp̄ar,0
18,Job,H3722,כָּפַר,kāp̄ar,0
19,Psa,H3722,כָּפַר,kāp̄ar,3
20,Pro,H3722,כָּפַר,kāp̄ar,2
21,Ecc,H3722,כָּפַר,kāp̄ar,0
22,Sng,H3722,כָּפַר,kāp̄ar,0
23,Isa,H3722,כָּפַר,kāp̄ar,5
24,Jer,H3722,כָּפַר,kāp̄ar,1
25,Lam,H3722,כָּפַר,kāp̄ar,0
26,Eze,H3722,כָּפַר,kāp̄ar,6
27,Dan,H3722,כָּפַר,kāp̄ar,1
28,Hos,H3722,כָּפַר,kāp̄ar,0
29,Joe,H3722,כָּפַר,kāp̄ar,0
30,Amo,H3722,כָּפַר,kāp̄ar,0
31,Oba,H3722,כָּפַר,kāp̄ar,0
32,Jon,H3722,כָּפַר,kāp̄ar,0
33,Mic,H3722,כָּפַר,kāp̄ar,0
34,Nah,H3722,כָּפַר,kāp̄ar,0
35,Hab,H3722,כָּפַר,kāp̄ar,0
36,Zep,H3722,כָּפַר,kāp̄ar,0
37,Hag,H3722,כָּפַר,kāp̄ar,0
38,Zec,H3722,כָּפַר,kāp̄ar,0
39,Mal,H3722,כָּפַר,kāp̄ar,0
40,Mat,H3722,כָּפַר,kāp̄ar,0
41,Mar,H3722,כָּפַר,kāp̄ar,0
42,Luk,H3722,כָּפַר,kāp̄ar,0
43,Jhn,H3722,כָּפַר,kāp̄ar,0
44,Act,H3722,כָּפַר,kāp̄ar,0
45,Rom,H3722,כָּפַר,kāp̄ar,0
46,1Co,H3722,כָּפַר,kāp̄ar,0
47,2Co,H3722,כָּפַר,kāp̄ar,0
48,Gal,H3722,כָּפַר,kāp̄ar,0
49,Eph,H3722,כָּפַר,kāp̄ar,0
50,Phl,H3722,כָּפַר,kāp̄ar,0
